nomInstallation,codeEICResourceObject,codeINSEECommune,Latitude,Longitude,commune,codeDepartement,departement,codeRegion,region,dateMiseEnService,filiere,puisMaxRac,nbGroupes
CENTRALE EOLIENNE DES COTEAUX 3,17W000000930192I,10015,48.42239773,4.106776155,Aubeterre,10,Aube,44,Grand-Est,2019-12-06 00:00,Eolien,10350,3
PARC EOLIEN DE COULANGES 1,17W000000932956H,18036,47.16404492,2.112356896,Brinay,18,Cher,24,Centre-Val de Loire,2019-11-09 00:00,Eolien,10800,3
PARC EOLIEN DE COULANGES 2,17W0000009345995,18036,47.16404492,2.112356896,Brinay,18,Cher,24,Centre-Val de Loire,2019-11-09 00:00,Eolien,10800,3
P.E. DE BASSE THIERACHE NORD N??2,17W000000910364R,2569,50.02290893,3.652738937,Oisy,2,Aisne,32,Hauts-de-France,2019-11-02 00:00,Eolien,6900,2
FERME EOLIENNE DU DUCANDEAU,17W000000934461Y,55040,48.96723837,5.212667887,Beausite,55,Meuse,44,Grand-Est,2019-10-09 00:00,Eolien,16800,5
PARC EOLIEN LES CAVES SAS,17W000000915818Q,53073,47.80280193,-1.124836884,Congrier,53,Mayenne,52,Pays de la Loire,2019-10-04 00:00,Eolien,11500,5
PARC EOLIEN D'AZERABLES,17W000000934775B,23015,46.35245858,1.474922726,Azerables,23,Creuse,75,Nouvelle-Aquitaine,2019-09-24 00:00,Eolien,13200,6
ENGIE GREEN PAYS HAUT,17W0000009336054,54491,49.35192716,5.92745145,Sancy,54,Meurthe-et-Moselle,44,Grand-Est,2019-09-20 00:00,Eolien,4000,2
PARCS EOLIENS 2019,17W0000009342429,51127,48.63373387,3.817458211,La Chapelle-Lasson,51,Marne,44,Grand-Est,2019-09-19 00:00,Eolien,10800,3
SEPE HAUT DE CORREAU,17W000000933822X,2552,49.85540022,3.468312986,Neuvillette,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,9900,3
Confidentiel,17W000000932934R,2552,49.85540022,3.468312986,Neuvillette,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,10800,3
SEPE CHAMPS A GELAINE,17W000000932914X,2503,49.85149975,3.526735684,Mont-d'Origny,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,10800,3
IEL EXPLOITATION 40,17W000000913801G,22093,48.46844048,-2.49534816,Lamballe,22,C??tes-d'Armor,53,Bretagne,2019-09-05 00:00,Eolien,4700,2
PARC EOLIEN LES PERSILLATS 2,17W000000915325C,18134,47.13464442,2.064036578,Lury-sur-Arnon,18,Cher,24,Centre-Val de Loire,2019-09-04 00:00,Eolien,9300,4
PARC EOLIEN D'ORMOY,17W000000503745Y,28289,48.62435461,1.471770785,Ormoy,28,Eure-et-Loir,24,Centre-Val de Loire,2019-09-01 00:00,Eolien,6000,3
PARCS EOLIENS 2019,17W000000927621T,51127,48.63373387,3.817458211,La Chapelle-Lasson,51,Marne,44,Grand-Est,2019-08-16 00:00,Eolien,10800,3
PARC EOLIEN DU FOUZON,17W0000009281071,18167,47.13364543,1.912318868,Nohant-en-Gra??ay,18,Cher,24,Centre-Val de Loire,2019-08-13 00:00,Eolien,9000,3
ENGIE GREEN POULDERGAT,17W000000502766V,29224,48.04068324,-4.326433545,Pouldergat,29,Finist??re,53,Bretagne,2019-08-01 00:00,Eolien,6900,3
EOLE PIERREFITTE ES BOIS,17W000000925186V,45251,47.51095347,2.692077501,Pierrefitte-??s-Bois,45,Loiret,24,Centre-Val de Loire,2019-07-25 00:00,Eolien,8400,4
PARC EOLIEN DES SOURCES DU MISTRAL 2,17W0000005044802,21163,47.55841312,5.285622662,Chazeuil,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-07-01 00:00,Eolien,8000,4
PARC EOLIEN DES SOURCES DU MISTRAL 1,17W000000501913C,21536,47.58420998,5.321326379,Sacquenay,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-07-01 00:00,Eolien,10000,5
Mont de Treme 1 le chapeau,17W000000931558Y,80822,49.70578387,2.643970792,Warsy,80,Somme,32,Hauts-de-France,2019-06-28 00:00,Eolien,13800,
Mont de Treme 2 le fief brunelle,17W000000931310X,80395,49.69781317,2.66525578,Guerbigny,80,Somme,32,Hauts-de-France,2019-06-28 00:00,Eolien,17000,
PARC EOLIEN DE CHAMPCOURT 2,17W000000927377E,2468,49.74513935,3.76520545,Marle,2,Aisne,32,Hauts-de-France,2019-06-24 00:00,Eolien,7050,3
PARC EOLIEN DE CHAMPCOURT,17W000000923787F,2468,49.74513935,3.76520545,Marle,2,Aisne,32,Hauts-de-France,2019-06-24 00:00,Eolien,7050,3
CENTRALE EOLIENNE LES HAUTS CHEMINS,17W000000924695F,88162,48.17522036,6.058288586,Esley,88,Vosges,44,Grand-Est,2019-06-24 00:00,Eolien,14000,6
CENTRALE EOLIENNE DES COTEAUX 2,17W000000927280T,10149,48.39656415,4.108674235,Feuges,10,Aube,44,Grand-Est,2019-06-20 00:00,Eolien,10350,3
PARC EOLIEN DES LONGS CHAMPS 2,17W000000930799H,76266,50.03486877,1.364822817,Flocques,76,Seine-Maritime,28,Normandie,2019-06-17 00:00,Eolien,4400,2
PE CHEMIN AVESNES IWUY,17W000000930723D,59322,50.23359842,3.336233475,Iwuy,59,Nord,32,Hauts-de-France,2019-05-28 00:00,Eolien,3600,1
ENERGIE AVESNES IWUY,17W0000009251393,59322,50.23359842,3.336233475,Iwuy,59,Nord,32,Hauts-de-France,2019-05-28 00:00,Eolien,7200,2
CENTRALE EOLIENNE DES COTEAUX 1,17W000000930630K,10352,48.35669053,4.071987379,Sainte-Maure,10,Aube,44,Grand-Est,2019-05-28 00:00,Eolien,10350,3
PARC EOLIEN DE GUEHENNO,17W000000913838U,56071,47.89224301,-2.651415442,Gu??henno,56,Morbihan,53,Bretagne,2019-05-28 00:00,Eolien,12000,6
ENERGIE AVESNES - IWUY,17W0000009253078,59322,50.23359842,3.336233475,Iwuy,59,Nord,32,Hauts-de-France,2019-05-28 00:00,Eolien,13800,4
ENERGIE AVESNES - AVESNES LE SEC,17W000000918248Q,59038,50.24839887,3.371454609,Avesnes-le-Sec,59,Nord,32,Hauts-de-France,2019-05-27 00:00,Eolien,13800,4
COL DE FERRIERE - RAHON 2,17W000000916765G,25595,47.34764843,6.590540119,Vellerot-l??s-Belvoir,25,Doubs,27,Bourgogne-Franche-Comt??,2019-05-22 00:00,Eolien,9690,3
SEPE DE LA BUTTE DE SOIGNY,17W000000915061K,51070,48.84685317,3.641771216,Boissy-le-Repos,51,Marne,44,Grand-Est,2019-05-21 00:00,Eolien,2000,1
SEPE DE LA BUTTE DE SOIGNY,17W000000914205R,51264,48.81040992,3.602679656,Le Gault-Soigny,51,Marne,44,Grand-Est,2019-05-21 00:00,Eolien,12000,6
PARC EOLIEN LES LANDES 1,17W000000915709V,87163,46.15324765,0.873311624,Saint-Martial-sur-Isop,87,Haute-Vienne,75,Nouvelle-Aquitaine,2019-05-15 00:00,Eolien,9000,3
CEMAZ,17W0000009334256,2169,49.76185031,3.703125089,Ch??tillon-l??s-Sons,2,Aisne,32,Hauts-de-France,2019-05-09 00:00,Eolien,12800,4
PARC EOLIEN LES PERSILLATS 1,17W000000917812S,18134,47.13464442,2.064036578,Lury-sur-Arnon,18,Cher,24,Centre-Val de Loire,2019-04-29 00:00,Eolien,11700,5
COL DE FERRIERE - RAHON 1,17W000000916713Z,25595,47.34764843,6.590540119,Vellerot-l??s-Belvoir,25,Doubs,27,Bourgogne-Franche-Comt??,2019-04-24 00:00,Eolien,9690,3
PARC EOLIEN LABRUGUIERE  P 1,17W000000916684G,81120,43.50900503,2.266620075,Labrugui??re,81,Tarn,76,Occitanie,2019-04-18 00:00,Eolien,11500,40
PARC EOLIEN LABRUGUIERE  P 2,17W000000917554O,81120,43.50900503,2.266620075,Labrugui??re,81,Tarn,76,Occitanie,2019-04-18 00:00,Eolien,11500,5
PARC EOLIEN DU MONT DE MAISNIL,17W000000913944V,62053,50.57869529,2.126733745,Audincthun,62,Pas-de-Calais,32,Hauts-de-France,2019-04-18 00:00,Eolien,12600,6
PARC EOLIEN DE LA CREMIERE,17W0000009156412,62673,50.17659373,2.985180275,Qu??ant,62,Pas-de-Calais,32,Hauts-de-France,2019-04-18 00:00,Eolien,13200,4
PARC EOLIEN DE ARBRE CHAUD,17W0000009142845,62469,50.17455999,3.039443202,Inchy-en-Artois,62,Pas-de-Calais,32,Hauts-de-France,2019-04-18 00:00,Eolien,13200,4
GARRIE02 - ADP 02 DE LA FERME EOLIENNE DE GARRIGOU (LA ROCAILLE),17W000000935395G,34107,43.5926355,2.797055311,Fraisse-sur-Agout,34,H??rault,76,Occitanie,2019-04-16 00:00,Eolien,14100,6
GARRIE01 - ADP 01 DE LA FERME EOLIENNE DE GARRIGOU (LA PLANESIE),17W000000935396E,34107,43.5926355,2.797055311,Fraisse-sur-Agout,34,H??rault,76,Occitanie,2019-04-16 00:00,Eolien,16450,7
PARC EOLIEN LES LANDES 2,17W000000927148T,87163,46.15324765,0.873311624,Saint-Martial-sur-Isop,87,Haute-Vienne,75,Nouvelle-Aquitaine,2019-04-07 00:00,Eolien,9000,3
CENTRALE EOLIENNE DES SOUTETS,17W000000910658A,12208,43.96566945,2.866531256,Saint-Affrique,12,Aveyron,76,Occitanie,2019-04-02 00:00,Eolien,13800,48
FERME EOLIENNE D'ANTEZANT LA CHAPELLE,17W000000914014Y,17013,45.99506824,-0.482871744,Antezant-la-Chapelle,17,Charente-Maritime,75,Nouvelle-Aquitaine,2019-03-29 00:00,Eolien,4000,2
FERME EOLIENNE ANTEZANT LA CHAPELLE,17W000000914982I,17013,45.99506824,-0.482871744,Antezant-la-Chapelle,17,Charente-Maritime,75,Nouvelle-Aquitaine,2019-03-29 00:00,Eolien,12000,6
PARC EOLIEN DE SAINT AMBROIX,17W0000009123022,18198,46.93555177,2.124014781,Saint-Ambroix,18,Cher,24,Centre-Val de Loire,2019-03-28 00:00,Eolien,12000,4
PARC DE GRAND RULLECOURT OUEST 1,17W000000912268D,62804,50.23940927,2.434727124,Sus-Saint-L??ger,62,Pas-de-Calais,32,Hauts-de-France,2019-03-26 00:00,Eolien,4100,2
EOLIENNES DE LA CHAPPELLE AU MANS,17W000000912430U,71088,46.62902816,3.977526722,La Chapelle-au-Mans,71,Sa??ne-et-Loire,27,Bourgogne-Franche-Comt??,2019-03-25 00:00,Eolien,12000,4
PARC EOLIEN DES 3 COMMUNES,17W000000913254J,62733,50.12137054,2.598672182,Sailly-au-Bois,62,Pas-de-Calais,32,Hauts-de-France,2019-03-13 00:00,Eolien,6900,4
CENTRALE EOLIENNE DES COTEAUX 4,17W0000009247221,10256,48.44579577,4.14056972,Montsuzain,10,Aube,44,Grand-Est,2019-03-07 00:00,Eolien,6900,2
PARC EOLIEN DU CATESIS,17W000000926419T,59055,50.0816022,3.59590423,Bazuel,59,Nord,32,Hauts-de-France,2019-03-06 00:00,Eolien,10000,5
EOLE JASSEINES,17W000000914139E,10175,48.50901507,4.394003924,Jasseines,10,Aube,44,Grand-Est,2019-03-05 00:00,Eolien,13200,6
CENTRALE EOLIENNE DE JONCELS (CEJON),17W000000916478J,34121,43.76621939,3.183100968,Joncels,34,H??rault,76,Occitanie,2019-03-04 00:00,Eolien,6300,7
PARC EOLIEN DE BOMY,17W0000005043393,62153,50.56937763,2.224078294,Bomy,62,Pas-de-Calais,32,Hauts-de-France,2019-03-01 00:00,Eolien,7050,3
ECHAUFFOUR ENERGIES,17W000000909387D,61150,48.73225065,0.395097738,??chauffour,61,Orne,28,Normandie,2019-02-28 00:00,Eolien,10000,5
SEPE DE PLEMY,17W0000009112233,22184,48.3378874,-2.676391703,Pl??my,22,C??tes-d'Armor,53,Bretagne,2019-02-27 00:00,Eolien,9300,6
PRODHTA (SICAE) - PROJET LES HAUTS PR??S LA BOUVRESSE 12MW,17W000000932915V,60471,49.57743433,3.007998062,Noyon,60,Oise,32,Hauts-de-France,2019-02-26 00:00,Eolien,12000,
EWZ PARC EOLIEN DE GRAINCOURT,17W000000910656E,62384,50.14247948,3.097060847,Graincourt-l??s-Havrincourt,62,Pas-de-Calais,32,Hauts-de-France,2019-02-21 00:00,Eolien,12000,4
PARC EOLIEN DE PAUDY,17W000000913161Q,36152,47.03466819,1.920295122,Paudy,36,Indre,24,Centre-Val de Loire,2019-02-21 00:00,Eolien,15000,5
PARC EOLIEN DE VIHIERSOIS 1,17W000000504569N,49310,47.08925026,-0.541920339,Saint-Paul-du-Bois,49,Maine-et-Loire,52,Pays de la Loire,2019-01-24 00:00,Eolien,7200,3
PARC EOLIEN NORDEX LIV,17W000000504627Z,49310,47.08925026,-0.541920339,Saint-Paul-du-Bois,49,Maine-et-Loire,52,Pays de la Loire,2019-01-24 00:00,Eolien,7200,3
Confidentiel,17W000000931017V,86068,46.20519353,0.158137798,Chaunay,86,Vienne,75,Nouvelle-Aquitaine,2019-01-18 00:00,Eolien,4000,2
TRAVERSAY,17W000000930966O,86068,46.20519353,0.158137798,Chaunay,86,Vienne,75,Nouvelle-Aquitaine,2019-01-18 00:00,Eolien,6000,3
PARC EOLIEN DE VIHIERSOIS 3,17W000000502782X,49310,47.08925026,-0.541920339,Saint-Paul-du-Bois,49,Maine-et-Loire,52,Pays de la Loire,2019-01-17 00:00,Eolien,7200,3
PARC EOLIEN DES USEROLES 2,17W000000502801I,21490,47.56998369,4.664389284,Poiseul-la-Ville-et-Laperri??re,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-01-14 00:00,Eolien,9600,4
PARC EOLIEN DES USEROLES 1,17W0000005037245,21490,47.56998369,4.664389284,Poiseul-la-Ville-et-Laperri??re,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-01-14 00:00,Eolien,9600,4
PARC EOLIEN D'ANGERVILLE 2,17W000000926187O,91016,48.30956277,2.006191123,Angerville,91,Essonne,11,Ile-de-France,2019-01-07 00:00,Eolien,8800,4
PARC EOLIEN D'ANGERVILLE 1,17W000000926295L,91016,48.30956277,2.006191123,Angerville,91,Essonne,11,Ile-de-France,2019-01-07 00:00,Eolien,11000,5
FERME EOLIENNE DE BENET 2,17W000000928109Y,85020,46.36887321,-0.613959919,Benet,85,Vend??e,52,Pays de la Loire,2019-01-06 00:00,Eolien,17000,5
TAIL5E06 - ADP 06 DE LA FERME EOLIENNE DES TAILLADES (Parc Eolien des Taillades Sud),17W000000923224M,7136,44.62072588,3.919338192,Laveyrune,7,Ard??che,84,Auvergne-Rh??ne-Alpes,2019-01-06 00:00,Eolien,27450,9
PARC EOLIEN DES TOURNEVENTS DU COS 2,17W0000004959804,2246,49.70310091,3.154244989,Cugny,2,Aisne,32,Hauts-de-France,2019-01-02 00:00,Eolien,12000,5
FERME EOLIENNE LAUNSTROFF,17W000000910657C,57388,49.4349333,6.500652302,Launstroff,57,Moselle,44,Grand-Est,2019-01-01 00:00,Eolien,10000,4
PARC EOLIEN DE WALDWISSE,17W000000498873R,57740,49.41435327,6.522581395,Waldwisse,57,Moselle,44,Grand-Est,2018-12-28 00:00,Eolien,10000,4
GUILLEVILLE E1 E2,17W000000502758U,28189,48.22188692,1.802479969,Guilleville,28,Eure-et-Loir,24,Centre-Val de Loire,2018-12-21 00:00,Eolien,6900,2
GUILLEVILLE E3 E4 E5,17W0000005037083,28189,48.22188692,1.802479969,Guilleville,28,Eure-et-Loir,24,Centre-Val de Loire,2018-12-21 00:00,Eolien,10800,3
PARC EOLIEN DE GAILLEFONTAINE,17W000000499873M,76295,49.65663431,1.626749227,Gaillefontaine,76,Seine-Maritime,28,Normandie,2018-12-20 00:00,Eolien,11750,5
CEPE DE ROSIERES - TRANCHE OUEST,17W000000499071L,55358,48.67854632,5.39088583,Chanteraine,55,Meuse,44,Grand-Est,2018-12-19 00:00,Eolien,6600,3
EOLE COTE DU MOULIN PDL 1,17W000000499306K,8476,49.50430279,4.076652193,Villers-devant-le-Thour,8,Ardennes,44,Grand-Est,2018-12-19 00:00,Eolien,9700,3
PE DE BASSE THIERACHE NORD 1,17W000000499871Q,2569,50.02290893,3.652738937,Oisy,2,Aisne,32,Hauts-de-France,2018-12-19 00:00,Eolien,13200,4
EOLE COTE DU MOULIN PDL 2,17W000000499859G,8476,49.50430279,4.076652193,Villers-devant-le-Thour,8,Ardennes,44,Grand-Est,2018-12-19 00:00,Eolien,13300,4
CENTRALE EOLIENNE AUXOIS SUD,17W000000498891P,21128,47.27318491,4.477324232,Chailly-sur-Arman??on,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2018-12-19 00:00,Eolien,16000,8
FERME EOLIENNE DE QUELAINES,17W000000498886I,53260,47.88311987,-0.854685551,Simpl??,53,Mayenne,52,Pays de la Loire,2018-12-17 00:00,Eolien,7050,3
Confidentiel,17W000000500810R,62053,50.57869529,2.126733745,Audincthun,62,Pas-de-Calais,32,Hauts-de-France,2018-12-13 00:00,Eolien,3300,1
ENERTRAG SANTERRE III DE MOULIN WABLE,17W000000498870X,80359,49.74082777,2.779425832,Fresnoy-l??s-Roye,80,Somme,32,Hauts-de-France,2018-12-13 00:00,Eolien,7050,3
Confidentiel,17W000000499875I,62271,50.62699738,2.169289202,Dohem,62,Pas-de-Calais,32,Hauts-de-France,2018-12-13 00:00,Eolien,9900,3
CABALAS OUEST (CAB B),17W000000908543U,34121,43.76621939,3.183100968,Joncels,34,H??rault,76,Occitanie,2018-12-12 00:00,Eolien,9200,36
PARC EOLIEN DE LA MUTTE,17W000000499879A,2403,49.8255554,3.6039999,Landifay-et-Bertaignemont,2,Aisne,32,Hauts-de-France,2018-12-12 00:00,Eolien,13200,6
EOLIENNES DE THIEULLOY 1,17W000000492352B,80754,49.82025948,1.94419558,Thieulloy-l'Abbaye,80,Somme,32,Hauts-de-France,2018-12-10 00:00,Eolien,9000,3
EOLIENNES DE THIEULLOY 2,17W0000004952326,80754,49.82025948,1.94419558,Thieulloy-l'Abbaye,80,Somme,32,Hauts-de-France,2018-12-10 00:00,Eolien,12000,4
PARC EOLIEN DU VALBIN (VALBIN 2),17W000000476161A,10055,48.14126288,4.362428285,Bourguignons,10,Aube,44,Grand-Est,2018-12-07 00:00,Eolien,9600,4
PARC EOLIEN DE LA BRUYERE,17W000000476286R,11045,42.99576368,2.161465987,Bouri??ge,11,Aude,76,Occitanie,2018-12-06 00:00,Eolien,2340,1
PARC EOLIEN DE LA BRUYERE - LE PELEDIS,17W000000476034H,11394,43.02009478,2.169589239,Tourreilles,11,Aude,76,Occitanie,2018-12-06 00:00,Eolien,11700,5
CEPE DE ROSIERES - TRANCHE EST,17W000000504487P,55358,48.67854632,5.39088583,Chanteraine,55,Meuse,44,Grand-Est,2018-11-30 00:00,Eolien,11000,5
PARC EOLIEN DE BOURCQ-CONTREUVE,17W000000497251T,8077,49.38222186,4.617992795,Bourcq,8,Ardennes,44,Grand-Est,2018-11-29 00:00,Eolien,6000,2
MONT EQUOI,17W000000498495X,10352,48.35669053,4.071987379,Sainte-Maure,10,Aube,44,Grand-Est,2018-11-23 00:00,Eolien,6400,2
ENGIE GREEN LES MONTS 2-CHAMPS TORTUS,17W000000498016Y,10256,48.44579577,4.14056972,Montsuzain,10,Aube,44,Grand-Est,2018-11-23 00:00,Eolien,9600,3
PARC EOLIEN - LES BUISSONS SUD,17W000000498257C,8161,49.2945449,5.022220227,Exermont,8,Ardennes,44,Grand-Est,2018-11-22 00:00,Eolien,7200,3
FERME EOLIENNE DE CHANVEAUX,17W000000495950D,49248,47.7629345,-1.193001898,Ombr??e d'Anjou,49,Maine-et-Loire,52,Pays de la Loire,2018-11-22 00:00,Eolien,11500,5
PARC EOLIEN DES SOURCES DE L'ANCRE,17W000000496543L,80549,50.1005697,2.727665136,Miraumont,80,Somme,32,Hauts-de-France,2018-11-21 00:00,Eolien,9900,3
PARC EOLIEN DES SOURCES DE L'ANCRE 2,17W000000497623I,80549,50.1005697,2.727665136,Miraumont,80,Somme,32,Hauts-de-France,2018-11-21 00:00,Eolien,13200,4
JUSTIEA3 - ADP A3 DE LA FERME EOLIENNE DE JUSTICE (LA) (PARC EOLIEN DE MOULIN D EMANVILLE 2),17W000000495851F,28004,48.33163423,1.652004132,Allonnes,28,Eure-et-Loir,24,Centre-Val de Loire,2018-11-20 00:00,Eolien,6600,2
ENETRAG AISNE VII SAS DE GOUDELENCOURT,17W0000004969338,2350,49.67832968,3.851627403,Goudelancourt-l??s-Pierrepont,2,Aisne,32,Hauts-de-France,2018-11-20 00:00,Eolien,9600,4
FERME EOLIENNE DE CHAPPES & REMAUCOURT,17W000000498445B,8356,49.60121284,4.232091278,Remaucourt,8,Ardennes,44,Grand-Est,2018-11-20 00:00,Eolien,13800,6
PARC EOLIEN DE POUGNY 1,17W000000496075S,58213,47.39401569,3.023974048,Pougny,58,Ni??vre,27,Bourgogne-Franche-Comt??,2018-11-19 00:00,Eolien,9400,4
PARC EOLIEN DE POUGNY 2,17W0000004967807,58213,47.39401569,3.023974048,Pougny,58,Ni??vre,27,Bourgogne-Franche-Comt??,2018-11-19 00:00,Eolien,11750,5
PARC EOLIEN DE QUINCY LE VICOMTE,17W0000004970146,21518,47.61746902,4.239732847,Quincy-le-Vicomte,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2018-11-15 00:00,Eolien,6600,3
PARC EOLIEN DE QUINCY LE VICOMTE,17W000000495969T,21518,47.61746902,4.239732847,Quincy-le-Vicomte,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2018-11-15 00:00,Eolien,8800,4
PARC DE L'ARGILLIERE N??2,17W0000004959626,80681,49.76785191,2.417037139,Rouvrel,80,Somme,32,Hauts-de-France,2018-11-15 00:00,Eolien,12800,4
PARC DE L'ARGILLIERE N??1,17W000000497791Y,80246,49.79530231,2.401349417,Dommartin,80,Somme,32,Hauts-de-France,2018-11-15 00:00,Eolien,12800,4
BORALEX LE PELON SAS,17W000000497353L,79307,46.12239132,0.111211624,Sauz??-Vaussais,79,Deux-S??vres,75,Nouvelle-Aquitaine,2018-11-14 00:00,Eolien,10000,5
FERME EOLIENNE EST,17W000000919446H,60232,49.58909366,2.513153984,Ferri??res,60,Oise,32,Hauts-de-France,2018-11-13 00:00,Eolien,9200,4
ENGIE GREEN LES MONTS 2-LA MONTAGNE A,17W000000498399T,10015,48.42239773,4.106776155,Aubeterre,10,Aube,44,Grand-Est,2018-11-13 00:00,Eolien,9600,3
ENGIE GREEN LES MONTS 2-LA MONTAGNE B,17W000000497868P,10149,48.39656415,4.108674235,Feuges,10,Aube,44,Grand-Est,2018-11-13 00:00,Eolien,9600,3
SEPE SACHIN,17W000000921904A,60232,49.58909366,2.513153984,Ferri??res,60,Oise,32,Hauts-de-France,2018-11-13 00:00,Eolien,11500,5
FERME EOLIENNE NORD,17W0000009226518,60232,49.58909366,2.513153984,Ferri??res,60,Oise,32,Hauts-de-France,2018-11-13 00:00,Eolien,11500,5
Confidentiel,17W0000004959189,2004,49.71665736,3.960432118,Agnicourt-et-S??chelles,2,Aisne,32,Hauts-de-France,2018-11-13 00:00,Eolien,12000,4
"""S.E.E.O.M """"PARC EOLIEN ORVILLIERS II""""""",17W000000497644A,10274,48.43876953,3.822491313,Orvilliers-Saint-Julien,10,Aube,44,Grand-Est,2018-11-13 00:00,Eolien,13800,6
MET LES GRANDS BOIS,17W000000499592U,2689,49.7138801,3.876123534,Saint-Pierremont,2,Aisne,32,Hauts-de-France,2018-11-12 00:00,Eolien,8200,4
PARC EOLIEN DE LA VALLEE DE TORFOU,17W000000500710V,36199,47.0110072,1.995440562,Sainte-Lizaigne,36,Indre,24,Centre-Val de Loire,2018-11-12 00:00,Eolien,8800,4
PARC EOLIEN DE LA VALLEE DE TORFOU,17W0000005007591,36199,47.0110072,1.995440562,Sainte-Lizaigne,36,Indre,24,Centre-Val de Loire,2018-11-12 00:00,Eolien,8800,4
FERME EOL DES BUISSONS,17W000000498871V,2057,49.99656086,3.329708425,Beaurevoir,2,Aisne,32,Hauts-de-France,2018-11-12 00:00,Eolien,13800,4
PARC EOLIEN DE SEMIDE,17W000000492300U,8410,49.3291026,4.576429979,Semide,8,Ardennes,44,Grand-Est,2018-11-10 00:00,Eolien,16000,5
confidentiel,17W000000920695Z,70572,47.81201549,5.757975167,Vitrey-sur-Mance,70,Haute-Sa??ne,27,Bourgogne-Franche-Comt??,2018-11-06 00:00,Eolien,12000,
SEPE  BOIS DES CORPS,17W0000004975826,57096,49.38273995,5.952097117,Boulange,57,Moselle,44,Grand-Est,2018-10-30 00:00,Eolien,4000,2
PARC EOLIEN SIOULET CHAVANON SUD,17W000000495922I,63053,45.70075182,2.654399238,Briffons,63,Puy-de-D??me,84,Auvergne-Rh??ne-Alpes,2018-10-30 00:00,Eolien,4800,6
PARC EOLIEN CUN GRAND,17W000000497788N,12039,43.76496251,2.94838918,Brusque,12,Aveyron,76,Occitanie,2018-10-30 00:00,Eolien,9000,33
PARC EOLIEN DE FOURCRANDS,17W000000497849T,12039,43.76496251,2.94838918,Brusque,12,Aveyron,76,Occitanie,2018-10-30 00:00,Eolien,12000,44
CHAMP DES MOULINS,17W000000919314Y,86068,46.20519353,0.158137798,Chaunay,86,Vienne,75,Nouvelle-Aquitaine,2018-10-29 00:00,Eolien,8000,4
CARREAU MANCEAU N??4,17W000000494970C,2097,49.6264862,3.956447719,Boncourt,2,Aisne,32,Hauts-de-France,2018-10-25 00:00,Eolien,4700,10
LES VENTS DE RANES 2,17W000000497209S,61344,48.64366757,-0.217658804,R??nes,61,Orne,28,Normandie,2018-10-19 00:00,Eolien,10250,5
LES VENTS DE RANES 1,17W0000004973858,61390,48.63079488,-0.26545918,Saint-Georges-d'Annebecq,61,Orne,28,Normandie,2018-10-19 00:00,Eolien,12300,6
Confidentiel,17W000000490765X,2004,49.71665736,3.960432118,Agnicourt-et-S??chelles,2,Aisne,32,Hauts-de-France,2018-10-17 00:00,Eolien,12000,4
ENERTRAG AISNE VII GOUDELENCOURT 2,17W0000004923482,2350,49.67832968,3.851627403,Goudelancourt-l??s-Pierrepont,2,Aisne,32,Hauts-de-France,2018-10-16 00:00,Eolien,7200,3
PARC EOLIEN DE FINS 2,17W000000499156D,80312,50.04203647,3.042210575,Fins,80,Somme,32,Hauts-de-France,2018-10-12 00:00,Eolien,12000,4
PARC EOLIEN HEUDICOURT SOREL 1,17W0000004994901,80438,50.02704186,3.090228446,Heudicourt,80,Somme,32,Hauts-de-France,2018-10-12 00:00,Eolien,12000,4
PARC EOLIEN DE HEUDICOURT SOREL 2,17W000000499685N,80438,50.02704186,3.090228446,Heudicourt,80,Somme,32,Hauts-de-France,2018-10-12 00:00,Eolien,12000,1
PARC EOLIEN DE HEUDICOURT SOREL 3,17W0000004997218,80737,50.02521927,3.052480434,Sorel,80,Somme,32,Hauts-de-France,2018-10-12 00:00,Eolien,12000,4
PARC EOLIEN DE FINS 1,17W0000004997404,80312,50.04203647,3.042210575,Fins,80,Somme,32,Hauts-de-France,2018-10-12 00:00,Eolien,12000,4
PARC EOLIEN DE FLAMETS,17W000000476940N,76042,49.75777905,1.574682181,Auvilliers,76,Seine-Maritime,28,Normandie,2018-10-08 00:00,Eolien,10000,5
EOL ANDIGNY 8,17W000000461193S,2683,50.04400833,3.554863344,Saint-Martin-Rivi??re,2,Aisne,32,Hauts-de-France,2018-10-05 00:00,Eolien,3000,1
CENTRALE EOLIENNE DU FENOUILLEDES T 2,17W000000490768R,66169,42.7767967,2.535651162,Saint-Arnac,66,Pyr??n??es-Orientales,76,Occitanie,2018-09-26 00:00,Eolien,11750,5
IEL EXPLOITATION 29,17W0000004946008,85306,46.45194087,-0.706316599,Xanton-Chassenon,85,Vend??e,52,Pays de la Loire,2018-09-21 00:00,Eolien,6000,3
